@relation risco_credito

@attribute rangeIdade string
@attribute numeroDependentes numeric
@attribute estadoCivil string
@attribute escolaridade string
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia string
@attribute tipoEmprego string
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute seraInadimplente {0,1}

@data
'acima de 60',2,'Solteiro','Sem Escolaridade',52,51,'Locatario','CLT',6,2804.00,0.00,82413.00,20580.00,1529.00,1,112.23,86,4232.83,1
'26 a 40',1,'Solteiro','Sem Escolaridade',35,41,'Locatario','CLT',14,1518.00,0.00,81602.00,23962.00,0.00,0,0.00,0,0.00,0
'acima de 60',0,'Solteiro','Sem Escolaridade',50,54,'Locatario','CLT',71,7690.00,9004.00,478193.00,411508.00,0.00,0,0.00,0,0.00,0
'26 a 40',2,'Solteiro','Sem Escolaridade',18,54,'Locatario','CLT',14,3473.00,0.00,71846.00,36692.00,-4118.00,0,0.00,0,0.00,0
'até 25',2,'Viuvo','Ensino Médio Completo',18,43,'Locatario','CLT',0,11859.00,170502.00,574935.00,75143.00,18150.00,1,32551.94,43,903109.71,1
'acima de 60',1,'Solteiro','Sem Escolaridade',86,37,'Locatario','CLT',59,18361.00,111857.00,547476.00,118893.00,32897.00,0,0.00,0,0.00,0
'26 a 40',3,'Viuvo','Ensino Fundamental Incompleto',30,54,'Locatario','Autonomo',10,2891.00,389266.00,656685.00,268491.00,-8452.00,0,0.00,0,0.00,1
'acima de 60',1,'Solteiro','Sem Escolaridade',66,46,'Locatario','CLT',36,1797.00,0.00,75134.00,33443.00,-16004.00,0,0.00,0,0.00,0
'41 a 60',3,'Solteiro','Sem Escolaridade',28,43,'Locatario','CLT',8,1518.00,0.00,94633.00,28722.00,-42689.00,0,0.00,0,0.00,0
'acima de 60',1,'Solteiro','Sem Escolaridade',80,61,'Proprietario','CLT',59,2284.00,0.00,29774.00,2492.00,628.00,0,693.61,0,66300.00,1
'acima de 60',2,'Casado','Doutorado',85,42,'Proprietario','Autonomo',34,1518.00,0.00,70797.00,31177.00,1817.00,0,706.50,0,14070.59,0
'26 a 40',3,'Solteiro','Sem Escolaridade',35,59,'Locatario','CLT',17,2479.00,0.00,52229.00,18748.00,4537.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',54,41,'Locatario','CLT',70,14582.00,218475.00,485512.00,305476.00,127860.00,0,0.00,0,0.00,0
'acima de 60',1,'Solteiro','Sem Escolaridade',80,48,'Locatario','CLT',54,2369.00,0.00,58099.00,47481.00,-7888.00,1,142.32,53,7064.88,1
'acima de 60',0,'Solteiro','Superior Incompleto',95,41,'Proprietario','Autonomo',36,1518.00,0.00,65322.00,56292.00,-48241.00,1,1196.92,71,9041.35,1
'acima de 60',3,'Viuvo','Pós-graduação',65,51,'Locatario','PJ',29,1518.00,0.00,94009.00,72624.00,0.00,0,0.00,0,0.00,1
'acima de 60',2,'Solteiro','Sem Escolaridade',24,41,'Locatario','CLT',44,1518.00,0.00,68820.00,11947.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Sem Escolaridade',60,54,'Locatario','CLT',19,1706.00,0.00,33491.00,7874.00,684.00,0,0.00,0,0.00,1
'41 a 60',4,'Viuvo','Sem Escolaridade',41,47,'Locatario','CLT',23,2493.00,0.00,112822.00,65115.00,-57399.00,1,16020.11,30,985670.10,1
'acima de 60',0,'Solteiro','Sem Escolaridade',74,54,'Locatario','CLT',56,1518.00,0.00,103763.00,53310.00,0.00,0,11704.51,0,271863.33,1
'acima de 60',3,'Solteiro','Sem Escolaridade',98,59,'Locatario','CLT',68,2055.00,0.00,36540.00,21598.00,10976.00,0,0.00,0,0.00,1
'acima de 60',1,'Solteiro','Sem Escolaridade',73,44,'Locatario','CLT',40,11652.00,358913.00,835024.00,315919.00,0.00,0,0.00,0,0.00,0
'acima de 60',4,'Solteiro','Superior Completo',81,46,'Locatario','CLT',28,9899.00,111776.00,574836.00,536795.00,0.00,0,0.00,0,0.00,0
